District,Year,Season,Crop,Rainfall_mm,Temp_Min_C,Temp_Max_C,Humidity_Pct,pH_Level,Nitrogen_kgha,Phosphorus_kgha,Potassium_kgha,Yield_Tonnes_Hectare
Thanjavur,2020,Kharif,Paddy,448.59,18.82,31.08,75.48,7.27,94.54,57.99,58.96,2.63
Thanjavur,2020,Kharif,Sugarcane,633.55,19.69,30.16,77.57,6.87,81.94,51.98,28.02,42.25
Thanjavur,2020,Kharif,Cotton,562.16,20.72,30.01,65.7,6.59,48.48,38.41,47.36,0.83
Thanjavur,2020,Kharif,Maize,609.94,23.04,35.36,75.31,6.92,99.46,42.86,64.06,3.22
Thanjavur,2020,Kharif,Groundnut,466.85,22.49,32.71,59.9,7.06,131.02,57.38,50.33,1.47
Thanjavur,2020,Rabi,Paddy,122.73,22.42,31.9,81.76,6.77,104.88,45.87,77.16,2.52
Thanjavur,2020,Rabi,Sugarcane,164.82,22.0,30.4,65.77,6.21,68.0,62.69,18.63,39.92
Thanjavur,2020,Rabi,Cotton,154.46,22.45,31.44,65.73,6.87,101.37,40.34,68.42,0.84
Thanjavur,2020,Rabi,Maize,169.06,17.64,30.82,69.93,7.56,98.52,38.04,62.82,2.9
Thanjavur,2020,Rabi,Groundnut,200.01,23.3,28.66,59.59,6.57,101.11,62.54,79.52,1.52
Thanjavur,2021,Kharif,Paddy,697.92,19.74,29.04,71.11,6.42,74.44,34.74,48.09,2.43
Thanjavur,2021,Kharif,Sugarcane,458.07,22.78,32.2,67.29,6.52,114.5,22.08,31.74,36.06
Thanjavur,2021,Kharif,Cotton,536.26,21.27,31.72,69.29,7.74,62.75,36.43,76.04,0.74
Thanjavur,2021,Kharif,Maize,524.29,20.58,31.57,73.29,7.31,115.96,38.74,45.38,2.73
Thanjavur,2021,Kharif,Groundnut,552.27,22.59,30.24,64.73,6.61,72.32,28.77,49.8,1.57
Thanjavur,2021,Rabi,Paddy,173.78,23.45,33.84,68.41,6.04,94.61,36.32,85.18,2.48
Thanjavur,2021,Rabi,Sugarcane,237.25,22.41,32.04,62.19,6.29,107.8,64.04,28.88,36.39
Thanjavur,2021,Rabi,Cotton,113.31,21.54,33.0,68.1,6.35,106.63,53.89,44.48,0.78
Thanjavur,2021,Rabi,Maize,285.28,19.27,31.49,83.74,6.65,109.66,29.11,49.95,2.9
Thanjavur,2021,Rabi,Groundnut,232.24,20.44,31.24,66.24,6.66,34.51,54.18,39.58,1.61
Thanjavur,2022,Kharif,Paddy,437.45,18.97,31.75,80.27,6.87,161.49,46.69,76.05,2.29
Thanjavur,2022,Kharif,Sugarcane,469.3,23.84,33.52,70.17,6.23,74.31,40.19,53.74,36.03
Thanjavur,2022,Kharif,Cotton,385.6,21.35,34.09,73.4,6.48,120.96,41.3,82.75,0.86
Thanjavur,2022,Kharif,Maize,403.64,21.88,29.81,59.48,6.65,108.73,40.63,45.51,3.19
Thanjavur,2022,Kharif,Groundnut,487.93,20.01,36.39,73.34,6.82,74.23,44.11,57.07,1.46
Thanjavur,2022,Rabi,Paddy,177.59,26.8,32.87,77.64,6.52,100.6,48.08,40.82,2.59
Thanjavur,2022,Rabi,Sugarcane,219.52,21.76,28.87,79.8,6.68,90.03,42.51,79.27,36.99
Thanjavur,2022,Rabi,Cotton,106.11,21.2,30.82,78.29,6.63,138.33,38.42,61.73,0.73
Thanjavur,2022,Rabi,Maize,192.47,23.44,33.75,73.52,6.2,95.24,39.72,68.8,3.17
Thanjavur,2022,Rabi,Groundnut,258.94,20.7,29.45,91.45,6.47,89.81,30.95,67.54,1.4
Thanjavur,2023,Kharif,Paddy,553.07,19.81,29.85,63.75,6.48,93.84,20.1,68.0,2.26
Thanjavur,2023,Kharif,Sugarcane,301.6,22.37,31.13,64.81,6.77,80.64,35.54,63.67,41.26
Thanjavur,2023,Kharif,Cotton,327.71,22.04,32.66,65.34,6.44,107.49,42.29,55.68,0.8
Thanjavur,2023,Kharif,Maize,336.21,19.53,30.79,57.28,6.71,116.4,25.31,68.37,2.85
Thanjavur,2023,Kharif,Groundnut,471.32,20.86,32.1,77.42,6.54,116.89,54.46,50.44,1.59
Thanjavur,2023,Rabi,Paddy,181.17,22.1,32.65,67.87,6.13,114.38,31.62,33.3,2.38
Thanjavur,2023,Rabi,Sugarcane,220.42,20.3,35.24,67.15,5.9,107.92,44.27,48.87,37.61
Thanjavur,2023,Rabi,Cotton,231.02,22.04,31.03,74.6,6.64,65.02,39.69,67.08,0.81
Thanjavur,2023,Rabi,Maize,192.2,20.05,30.43,84.11,6.18,106.5,22.57,64.63,2.89
Thanjavur,2023,Rabi,Groundnut,123.0,22.77,30.05,60.97,6.0,126.78,58.95,72.52,1.54
Madurai,2020,Kharif,Paddy,456.93,20.3,32.94,77.11,6.34,106.6,37.03,48.89,2.26
Madurai,2020,Kharif,Sugarcane,347.62,24.06,29.38,70.96,6.39,89.76,50.09,52.79,40.52
Madurai,2020,Kharif,Cotton,449.39,23.66,29.91,69.13,6.03,115.56,32.94,57.32,0.73
Madurai,2020,Kharif,Maize,541.3,22.7,27.07,63.05,7.04,82.41,17.24,56.45,3.13
Madurai,2020,Kharif,Groundnut,436.99,17.09,32.22,75.8,6.23,148.06,32.6,70.88,1.45
Madurai,2020,Rabi,Paddy,146.78,23.53,29.91,67.88,5.48,111.8,20.42,44.0,2.11
Madurai,2020,Rabi,Sugarcane,67.65,23.31,31.23,72.27,6.88,115.84,38.1,79.86,36.44
Madurai,2020,Rabi,Cotton,255.0,22.39,33.28,75.99,6.9,98.13,27.5,84.67,0.86
Madurai,2020,Rabi,Maize,261.74,21.03,33.57,76.38,6.56,96.9,42.04,44.39,2.82
Madurai,2020,Rabi,Groundnut,184.39,22.32,33.81,68.75,5.75,77.97,29.19,66.96,1.36
Madurai,2021,Kharif,Paddy,424.42,20.63,32.94,69.44,6.65,89.74,48.15,39.98,2.41
Madurai,2021,Kharif,Sugarcane,659.33,23.07,31.52,77.16,6.7,76.35,37.29,80.17,43.29
Madurai,2021,Kharif,Cotton,458.86,20.95,33.2,89.77,5.76,113.3,46.74,33.96,0.76
Madurai,2021,Kharif,Maize,664.45,24.28,33.88,83.09,6.68,84.96,52.74,54.71,3.14
Madurai,2021,Kharif,Groundnut,509.35,19.1,33.71,52.92,6.41,128.86,43.9,74.18,1.42
Madurai,2021,Rabi,Paddy,153.87,21.82,34.11,74.69,6.45,102.0,28.67,55.95,2.61
Madurai,2021,Rabi,Sugarcane,220.45,21.61,26.41,67.33,7.44,124.01,37.79,55.05,36.88
Madurai,2021,Rabi,Cotton,190.63,21.31,31.24,91.7,7.9,102.05,29.91,74.1,0.73
Madurai,2021,Rabi,Maize,313.06,22.42,32.96,66.82,6.91,82.06,45.44,51.72,3.23
Madurai,2021,Rabi,Groundnut,217.3,20.94,33.35,75.97,5.9,91.3,28.29,69.68,1.64
Madurai,2022,Kharif,Paddy,498.67,21.05,34.03,58.78,6.44,128.17,40.58,42.19,2.34
Madurai,2022,Kharif,Sugarcane,426.25,20.91,31.54,63.3,7.03,96.91,44.31,38.1,39.59
Madurai,2022,Kharif,Cotton,335.33,22.9,31.73,60.94,6.0,108.21,48.14,74.49,0.81
Madurai,2022,Kharif,Maize,548.75,22.9,34.79,77.77,6.41,128.98,50.47,68.87,3.24
Madurai,2022,Kharif,Groundnut,563.6,22.51,31.19,38.53,5.83,74.69,43.95,59.7,1.46
Madurai,2022,Rabi,Paddy,136.76,18.25,32.6,68.34,6.8,104.84,55.27,71.6,2.64
Madurai,2022,Rabi,Sugarcane,257.62,19.23,29.79,79.18,6.3,110.76,34.76,39.94,36.64
Madurai,2022,Rabi,Cotton,193.69,24.52,31.81,55.69,5.94,137.7,50.01,53.87,0.76
Madurai,2022,Rabi,Maize,161.4,20.3,30.41,63.58,6.17,97.78,56.79,60.27,3.28
Madurai,2022,Rabi,Groundnut,145.43,21.71,33.85,80.25,6.54,88.73,57.51,74.91,1.63
Madurai,2023,Kharif,Paddy,304.06,20.34,30.34,74.4,6.25,166.88,48.39,59.24,2.4
Madurai,2023,Kharif,Sugarcane,489.82,23.08,31.35,89.02,7.66,87.56,48.33,73.85,32.46
Madurai,2023,Kharif,Cotton,488.72,21.08,31.34,60.09,6.87,75.3,40.86,73.25,0.78
Madurai,2023,Kharif,Maize,547.42,21.68,32.77,62.12,6.05,116.86,43.6,81.02,3.17
